ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
1,1,4,16,10,20.520000457763672,11.670000076293945,22.843306,40.630657
2,1,5,16.600000381469727,7,2.940000057220459,11.75,2.130939,41.298506
3,1,0,14.199999809265137,9.800000190734863,5.019999980926514,13.25,4.70684,43.475724
4,1,4,16,10,20.520000457763672,11.670000076293945,22.846245,40.629809
5,1,4,16,10,20.520000457763672,11.670000076293945,22.84859,40.590583
6,1,4,16,10,20.520000457763672,11.670000076293945,22.840971,40.627158
7,1,9,16.700000762939453,9.5,6.130000114440918,13.100000381469727,18.512629,-34.083659
8,1,-1,17.799999237060547,9.199999809265137,5.300000190734863,13.630000114440918,-0.317458,39.327667
9,1,7,14.100000381469727,10,3.5,13.350000381469727,4.259052,43.619976
10,1,4,16,10,20.520000457763672,11.670000076293945,22.850044,40.628181
11,1,2,14,10.100000381469727,2.9100000858306885,13.34000015258789,3.968479,43.547861
12,1,4,16,10,20.520000457763672,11.670000076293945,22.84837,40.591431
13,1,2,14,10.100000381469727,2.9100000858306885,13.34000015258789,3.969808,43.545823
14,1,4,16,10,20.520000457763672,11.670000076293945,22.842319,40.628409
15,1,45,26.799999237060547,8.5,20.84000015258789,11.039999961853027,73.020156,19.005738
16,1,4,16,10,20.520000457763672,11.670000076293945,22.841221,40.628122
17,1,4,16,10,20.520000457763672,11.670000076293945,22.850302,40.628018
18,1,17,16.700000762939453,7.800000190734863,11.75,12.5,-8.970044,38.946057
19,1,3,15.5,8.300000190734863,19.469999313354492,10.960000038146973,11.215493,42.466546
20,1,7,14.100000381469727,10,3.5,13.350000381469727,4.263592,43.615893
21,1,82,15.199999809265137,7.900000095367432,83.80000305175781,9.9399995803833,11.163145,42.431065
22,1,17,17.5,8.899999618530273,9.210000038146973,12.3100004196167,-7.439047,37.196686
23,1,18,17,8.300000190734863,6.760000228881836,12.5600004196167,-8.922583,38.74852
24,1,17,17.5,8.899999618530273,9.210000038146973,12.3100004196167,-7.459529,37.208573
25,1,1,16.899999618530273,8,1.6100000143051147,13.3100004196167,-8.954479,38.894827
26,1,42,18.100000381469727,10.699999809265137,22,11.539999961853027,-0.526228,38.242609
27,1,6,14.100000381469727,10.100000381469727,5.570000171661377,12.680000305175781,3.877631,43.503682
28,1,0,14.300000190734863,9.699999809265137,7.539999961853027,13.520000457763672,4.624718,43.41603
29,1,110,13.5,7.900000095367432,26.969999313354492,10.619999885559082,28.663543,41.156008
30,1,17,17.5,8.899999618530273,9.210000038146973,12.3100004196167,-7.435989,37.197947
31,1,1,14.100000381469727,10,2.009999990463257,13.930000305175781,4.12174,43.50161
32,1,3,15.5,8.300000190734863,19.469999313354492,10.960000038146973,11.213376,42.467833
